Genre,Weeks Charted,Count
dance pop,1,79
dance pop,2,85
dance pop,3,71
dance pop,4,72
dance pop,5,75
dance pop,6,75
dance pop,7,75
dance pop,8,75
dance pop,9,72
dance pop,10,76
dance pop,11,71
dance pop,12,72
dance pop,13,84
dance pop,14,80
dance pop,15,79
dance pop,16,80
dance pop,17,77
dance pop,18,77
dance pop,19,80
dance pop,20,74
dance pop,21,81
dance pop,22,88
dance pop,23,83
dance pop,24,81
dance pop,25,83
dance pop,26,76
dance pop,27,65
dance pop,28,65
dance pop,29,67
dance pop,30,27
dance pop,31,29
dance pop,32,34
dance pop,33,36
dance pop,34,32
dance pop,35,34
dance pop,36,33
dance pop,37,31
dance pop,38,31
dance pop,39,28
dance pop,40,24
dance pop,41,27
dance pop,42,27
dance pop,43,30
dance pop,44,41
dance pop,45,37
dance pop,46,34
dance pop,47,32
dance pop,48,30
dance pop,49,33
dance pop,50,27
dance pop,51,40
dance pop,52,78
dance pop,53,34
latin,1,49
latin,2,49
latin,3,49
latin,4,50
latin,5,49
latin,6,51
latin,7,47
latin,8,48
latin,9,62
latin,10,56
latin,11,52
latin,12,51
latin,13,39
latin,14,40
latin,15,43
latin,16,41
latin,17,39
latin,18,36
latin,19,46
latin,20,44
latin,21,45
latin,22,46
latin,23,43
latin,24,43
latin,25,42
latin,26,42
latin,27,49
latin,28,41
latin,29,40
latin,30,18
latin,31,19
latin,32,17
latin,33,17
latin,34,21
latin,35,23
latin,36,24
latin,37,25
latin,38,23
latin,39,23
latin,40,23
latin,41,25
latin,42,24
latin,43,22
latin,44,24
latin,45,25
latin,46,23
latin,47,20
latin,48,36
latin,49,27
latin,50,23
latin,51,20
latin,52,47
latin,53,24
melodic rap,1,33
melodic rap,2,35
melodic rap,3,27
melodic rap,4,29
melodic rap,5,28
melodic rap,6,28
melodic rap,7,28
melodic rap,8,30
melodic rap,9,29
melodic rap,10,47
melodic rap,11,49
melodic rap,12,37
melodic rap,13,36
melodic rap,14,35
melodic rap,15,38
melodic rap,16,37
melodic rap,17,36
melodic rap,18,35
melodic rap,19,34
melodic rap,20,30
melodic rap,21,34
melodic rap,22,31
melodic rap,23,32
melodic rap,24,31
melodic rap,25,28
melodic rap,26,30
melodic rap,27,31
melodic rap,28,45
melodic rap,29,43
melodic rap,30,24
melodic rap,31,20
melodic rap,32,22
melodic rap,33,22
melodic rap,34,20
melodic rap,35,19
melodic rap,36,18
melodic rap,37,18
melodic rap,38,19
melodic rap,39,16
melodic rap,40,14
melodic rap,41,14
melodic rap,42,14
melodic rap,43,13
melodic rap,44,13
melodic rap,45,13
melodic rap,46,13
melodic rap,47,13
melodic rap,48,10
melodic rap,49,11
melodic rap,50,10
melodic rap,51,10
melodic rap,52,32
melodic rap,53,11
pop,1,159
pop,2,165
pop,3,146
pop,4,158
pop,5,167
pop,6,165
pop,7,173
pop,8,158
pop,9,148
pop,10,146
pop,11,154
pop,12,167
pop,13,176
pop,14,176
pop,15,159
pop,16,162
pop,17,152
pop,18,148
pop,19,150
pop,20,150
pop,21,157
pop,22,162
pop,23,158
pop,24,154
pop,25,157
pop,26,155
pop,27,141
pop,28,134
pop,29,142
pop,30,78
pop,31,83
pop,32,83
pop,33,82
pop,34,76
pop,35,75
pop,36,73
pop,37,69
pop,38,71
pop,39,66
pop,40,64
pop,41,69
pop,42,71
pop,43,74
pop,44,75
pop,45,73
pop,46,72
pop,47,66
pop,48,57
pop,49,60
pop,50,66
pop,51,64
pop,52,144
pop,53,72
pop rap,1,41
pop rap,2,42
pop rap,3,37
pop rap,4,41
pop rap,5,44
pop rap,6,41
pop rap,7,41
pop rap,8,38
pop rap,9,39
pop rap,10,39
pop rap,11,35
